instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_norm,atemp_norm,hum_norm,windspeed_norm
107,2011-04-17,Musim Semi,2011,April,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0.4953501186114129,0.4812466462175634,0.493144473007712,0.5795113007098133
108,2011-04-18,Musim Semi,2011,April,Tak Libur,Senin,Kerja,Sedikit Berawan,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0.5649207774449164,0.5566575272266752,0.5578406169665809,0.2910403068579815
109,2011-04-19,Musim Semi,2011,April,Tak Libur,Selasa,Kerja,Berkabut,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0.5566133681628974,0.5384276522840373,0.6846611825192802,0.279503858504925
110,2011-04-20,Musim Semi,2011,April,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.595,0.564392,0.614167,0.241925,613,3331,3944,0.6677198273574064,0.6370511707129077,0.6315341902313625,0.4525794455371819
111,2011-04-21,Musim Semi,2011,April,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0.4984652413360338,0.4920050027145292,0.41859434447300764,0.6243748084044553
112,2011-04-22,Musim Semi,2011,April,Tak Libur,Jumat,Kerja,Berkabut,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0.3458242278296093,0.3188185654894606,0.7502138817480719,0.4063924210729433
113,2011-04-23,Musim Semi,2011,April,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0.4995032002278775,0.4870550561125211,0.9130251928020565,0.4294900564102639
114,2011-04-24,Musim Semi,2011,April,Tak Libur,Minggu,Tak Kerja,Berkabut,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0.6511062548424583,0.6204739032409483,0.833761439588689,0.35001720365645217
115,2011-04-25,Musim Semi,2011,April,Tak Libur,Senin,Kerja,Sedikit Berawan,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0.6822574820886673,0.650319285338497,0.7986293059125964,0.335912060763026
116,2011-04-26,Musim Semi,2011,April,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0.7134087093348764,0.6760246166318206,0.749786118251928,0.6269352567344224
117,2011-04-27,Musim Semi,2011,April,Tak Libur,Rabu,Kerja,Berkabut,0.62,0.575142,0.835417,0.3122,547,3325,3872,0.6988710546036155,0.6511619970113925,0.8590406169665809,0.5974550545455896
118,2011-04-28,Musim Semi,2011,April,Tak Libur,Kamis,Kerja,Berkabut,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0.6957559318789948,0.6561329457734727,0.7206508997429306,0.6154070545917684
119,2011-04-29,Musim Semi,2011,April,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.51,0.497463,0.457083,0.240063,878,3717,4595,0.5618056547202956,0.5491978224960437,0.4700082262210797,0.4487408345948318
120,2011-04-30,Musim Semi,2011,April,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,0.515078813850982,0.5053006826752131,0.5175660668380463,0.4384578102229508
121,2011-05-01,Musim Semi,2011,Mei,Tak Libur,Minggu,Tak Kerja,Berkabut,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0.48911987316217104,0.484538734808875,0.7836329048843187,0.17309269791884205
122,2011-05-02,Musim Semi,2011,Mei,Tak Libur,Senin,Kerja,Berkabut,0.549167,0.532833,0.73,0.183454,847,3554,4401,0.6106096594223864,0.5956257226055699,0.7506426735218509,0.3320384034264654
